time,HDS001_010_004,HDS001_004_004
309.0002218790,1018.852531495373,1013.345537392995
311.6185489270,1018.851146475513,1013.343926794056
314.7605413847,1018.849484389962,1013.341993889126
318.5309323339,1018.847489798416,1013.339674135168
323.0554014729,1018.845096160554,1013.336890044845
328.4847644398,1018.842223610763,1013.333548582465
335.0000000000,1018.838776285497,1013.329538033058
336.8788920947,1018.838206534356,1013.328873889331
339.1335626083,1018.837522820058,1013.328076845246
341.8391672246,1018.836702367634,1013.327120367882
345.0858927642,1018.835717803528,1013.325972466539
348.9819634117,1018.834536296076,1013.324594801032
353.6572481887,1018.833118443177,1013.322941339858
359.2675899211,1018.831416956401,1013.320956812724
366.0000000000,1018.829375081120,1013.318574850518
367.8788920947,1018.829276951803,1013.275258217844
370.1335626083,1018.829159196383,1013.224091737072
372.8391672246,1018.829017889533,1013.163836207603
376.0858927642,1018.828848320818,1013.093131769268
379.9819634117,1018.828644837647,1013.010517776349
384.6572481887,1018.828400656818,1012.914468671254
390.2675899211,1018.828107638349,1012.803450269564
397.0000000000,1018.827756014054,1012.676000407824
398.6970638274,1018.829371747794,1012.646206606622
400.7335404204,1018.831310540330,1012.610973080259
403.1773123319,1018.833636964740,1012.569424874422
406.1098386257,1018.836428491710,1012.520595285363
409.6288701783,1018.839778061582,1012.463437238178
413.8517080414,1018.843797167527,1012.396845708653
418.9191134771,1018.848619550511,1012.319694781460
425.0000000000,1018.854405626808,1012.230893047284
426.8788920947,1018.857136080302,1012.204915717704
429.1335626083,1018.860412374889,1012.174248983564
431.8391672246,1018.864343569041,1012.138161444816
435.0858927642,1018.869060484694,1012.095855324400
438.9819634117,1018.874720038753,1012.046481210045
443.6572481887,1018.881510431611,1011.989163675180
449.2675899211,1018.889657359677,1011.923040985096
456.0000000000,1018.899431452129,1011.847322024629
457.8182826723,1018.901159434546,1011.826007380607
460.0002218790,1018.903232912839,1011.800798036702
462.6185489270,1018.905720941909,1011.771065996515
465.7605413847,1018.908706368150,1011.736116561143
469.5309323339,1018.912288579159,1011.695195974106
474.0554014729,1018.916586799595,1011.647506767403
479.4847644398,1018.921744040587,1011.592233326465
486.0000000000,1018.927931831542,1011.528580278711
487.8788920947,1018.927833871626,1011.508117945384
490.1335626083,1018.927716318902,1011.483870412811
492.8391672246,1018.927575254376,1011.455206590330
496.0858927642,1018.927405975012,1011.421418315718
499.9819634117,1018.927202836757,1011.381722459745
504.6572481887,1018.926959066065,1011.335268615083
510.2675899211,1018.926666533506,1011.281154317563
517.0000000000,1018.926315481667,1011.218449804771
518.8182826723,1018.925765255678,1011.201098163243
521.0002218790,1018.925104973758,1011.180503481348
523.6185489270,1018.924312619889,1011.156110762140
526.7605413847,1018.923361772641,1011.127290844652
530.5309323339,1018.922220723033,1011.093338911367
535.0554014729,1018.920851415457,1011.053476772779
540.4847644398,1018.919208175973,1011.006860445740
547.0000000000,1018.917236184911,1010.952594663923
548.8788920947,1018.916243838913,1010.936543204459
551.1335626083,1018.915052989657,1010.917475660587
553.8391672246,1018.913623921320,1010.894868827253
557.0858927642,1018.911908968099,1010.868126362625
560.9819634117,1018.909850921089,1010.836575586655
565.6572481887,1018.907381115071,1010.799467143875
571.2675899211,1018.904417130468,1010.755978770480
578.0000000000,1018.900860032236,1010.705224508567
579.8788920947,1018.899867252685,1010.691161432744
582.1335626083,1018.898675881437,1010.674442057262
584.8391672246,1018.897246184151,1010.654599696255
588.0858927642,1018.895530472381,1010.631099872874
591.9819634117,1018.893471509411,1010.603336109186
596.6572481887,1018.891000595650,1010.570627798683
602.2675899211,1018.888035268725,1010.532221176722
609.0000000000,1018.884476539781,1010.487294519433
610.8182826723,1018.883515343890,1010.475237822459
613.0002218790,1018.882361873147,1010.460888744830
615.6185489270,1018.880977656586,1010.443838180709
618.7605413847,1018.879316521783,1010.423614892127
622.5309323339,1018.877323051181,1010.399680394881
627.0554014729,1018.874930728057,1010.371425182402
632.4847644398,1018.872059709207,1010.338167089640
639.0000000000,1018.868614148435,1010.299152734993
640.8788920947,1018.867620441682,1010.287969888932
643.1335626083,1018.866427952651,1010.274655044260
645.8391672246,1018.864996906472,1010.258825227140
649.0858927642,1018.863279564891,1010.240038207098
652.9819634117,1018.861218629652,1010.217787099508
657.6572481887,1018.858745324625,1010.191495983237
663.2675899211,1018.855777091446,1010.160517219468
670.0000000000,1018.852214819820,1010.124131281849
671.8182826723,1018.851252662958,1010.114356644560
674.0002218790,1018.850098033102,1010.102708012721
676.6185489270,1018.848712416903,1010.088844344975
679.7605413847,1018.847049589763,1010.072369971913
683.5309323339,1018.845054069553,1010.052828795285
688.0554014729,1018.842659259114,1010.029699037738
693.4847644398,1018.839785214249,1010.002389080654
700.0000000000,1018.836335960779,1009.970235051627
701.8788920947,1018.835765679455,1009.961555689241
704.1335626083,1018.835081315017,1009.951213219518
706.8391672246,1018.834260038478,1009.938905395830
710.0858927642,1018.833274449200,1009.924281759072
713.9819634117,1018.832091657671,1009.906938625716
718.6572481887,1018.830672183327,1009.886414628550
724.2675899211,1018.828968629559,1009.862187316438
731.0000000000,1018.826924090006,1009.833671442505
