parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,zone,x,y,parval1_trans,parlbnd_trans,parubnd_trans
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:3_x:1750.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,3,,1750.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:4_x:2250.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,4,,2250.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:5_x:2750.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,5,,2750.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:6_x:3250.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,6,,3250.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:7_x:3750.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,7,,3750.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:8_x:4250.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,8,,4250.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:0_x:250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,0,,250.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:1_x:750.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,1,,750.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:2_x:1250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,2,,1250.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:3_x:1750.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,3,,1750.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:4_x:2250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,4,,2250.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:5_x:2750.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,5,,2750.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:6_x:3250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,6,,3250.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:7_x:3750.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,7,,3750.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:8_x:4250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,3,8,,4250.00,8750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:0_x:250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,0,,250.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:1_x:750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,1,,750.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:2_x:1250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,2,,1250.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:3_x:1750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,3,,1750.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:4_x:2250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,4,,2250.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:5_x:2750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,5,,2750.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:6_x:3250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,6,,3250.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:7_x:3750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,7,,3750.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:8_x:4250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,4,8,,4250.00,8250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:0_x:250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,0,,250.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:1_x:750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,1,,750.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:2_x:1250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,2,,1250.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:3_x:1750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,3,,1750.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:4_x:2250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,4,,2250.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:5_x:2750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,5,,2750.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:6_x:3250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,6,,3250.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:7_x:3750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,7,,3750.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:8_x:4250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,5,8,,4250.00,7750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:0_x:250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,0,,250.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:1_x:750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,1,,750.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:2_x:1250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,2,,1250.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:3_x:1750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,3,,1750.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:4_x:2250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,4,,2250.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:5_x:2750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,5,,2750.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:6_x:3250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,6,,3250.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:7_x:3750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,7,,3750.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:8_x:4250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,6,8,,4250.00,7250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:0_x:250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,0,,250.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:1_x:750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,1,,750.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:2_x:1250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,2,,1250.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:3_x:1750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,3,,1750.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:4_x:2250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,4,,2250.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:5_x:2750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,5,,2750.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:6_x:3250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,6,,3250.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:7_x:3750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,7,,3750.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:8_x:4250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,7,8,,4250.00,6750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:0_x:250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,0,,250.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:1_x:750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,1,,750.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:2_x:1250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,2,,1250.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
