parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y,zone,parval1_trans,parlbnd_trans,parubnd_trans
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:4_x:2250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,3,2,4,npf,m,gr,2250.00,8750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:5_x:2750.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,3,2,5,npf,m,gr,2750.00,8750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:6_x:3250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,3,2,6,npf,m,gr,3250.00,8750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:7_x:3750.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,3,2,7,npf,m,gr,3750.00,8750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:3_j:8_x:4250.00_y:8750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,3,2,8,npf,m,gr,4250.00,8750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:0_x:250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,0,npf,m,gr,250.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:1_x:750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,1,npf,m,gr,750.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:2_x:1250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,2,npf,m,gr,1250.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:3_x:1750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,3,npf,m,gr,1750.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:4_x:2250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,4,npf,m,gr,2250.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:5_x:2750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,5,npf,m,gr,2750.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:6_x:3250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,6,npf,m,gr,3250.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:7_x:3750.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,7,npf,m,gr,3750.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:4_j:8_x:4250.00_y:8250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,4,2,8,npf,m,gr,4250.00,8250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:0_x:250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,0,npf,m,gr,250.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:1_x:750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,1,npf,m,gr,750.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:2_x:1250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,2,npf,m,gr,1250.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:3_x:1750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,3,npf,m,gr,1750.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:4_x:2250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,4,npf,m,gr,2250.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:5_x:2750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,5,npf,m,gr,2750.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:6_x:3250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,6,npf,m,gr,3250.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:7_x:3750.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,7,npf,m,gr,3750.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:5_j:8_x:4250.00_y:7750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,5,2,8,npf,m,gr,4250.00,7750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:0_x:250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,0,npf,m,gr,250.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:1_x:750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,1,npf,m,gr,750.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:2_x:1250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,2,npf,m,gr,1250.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:3_x:1750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,3,npf,m,gr,1750.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:4_x:2250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,4,npf,m,gr,2250.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:5_x:2750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,5,npf,m,gr,2750.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:6_x:3250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,6,npf,m,gr,3250.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:7_x:3750.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,7,npf,m,gr,3750.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:6_j:8_x:4250.00_y:7250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,6,2,8,npf,m,gr,4250.00,7250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:0_x:250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,0,npf,m,gr,250.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:1_x:750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,1,npf,m,gr,750.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:2_x:1250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,2,npf,m,gr,1250.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:3_x:1750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,3,npf,m,gr,1750.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:4_x:2250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,4,npf,m,gr,2250.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:5_x:2750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,5,npf,m,gr,2750.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:6_x:3250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,6,npf,m,gr,3250.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:7_x:3750.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,7,npf,m,gr,3750.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:7_j:8_x:4250.00_y:6750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,7,2,8,npf,m,gr,4250.00,6750.00,,0.0,-0.3010299956639812,0.3010299956639812
