time,HDS001_010_004,HDS001_004_004
409.6288701783,1010.870855864079,1006.410276127222
413.8517080414,1010.873367939042,1006.325839718573
418.9191134771,1010.876382162200,1006.227746703019
425.0000000000,1010.879998845798,1006.114468653434
426.8788920947,1010.881705594151,1006.080526212926
429.1335626083,1010.883753569903,1006.040390208032
431.8391672246,1010.886210964755,1005.993065319200
435.0858927642,1010.889159585100,1005.937451795660
438.9819634117,1010.892697564522,1005.872358050108
443.6572481887,1010.896942614338,1005.796525448782
449.2675899211,1010.902035917482,1005.708669139581
456.0000000000,1010.908146791721,1005.607538777505
457.8182826723,1010.909227184425,1005.579811670631
460.0002218790,1010.910523606162,1005.546976840561
462.6185489270,1010.912079240930,1005.508192573188
465.7605413847,1010.913945899903,1005.462519260377
469.5309323339,1010.916185742593,1005.408925112360
474.0554014729,1010.918873340399,1005.346300577647
479.4847644398,1010.922098150014,1005.273484503512
486.0000000000,1010.925967477521,1005.189305238719
487.8788920947,1010.925906232371,1005.163826589091
490.1335626083,1010.925832737393,1005.133621414684
492.8391672246,1010.925744542187,1005.097896063438
496.0858927642,1010.925638706012,1005.055757545065
499.9819634117,1010.925511699542,1005.006214980467
504.6572481887,1010.925359286833,1004.948187720669
510.2675899211,1010.925176383429,1004.880522568597
517.0000000000,1010.924956885607,1004.802022666132
518.8182826723,1010.924612826543,1004.780638579055
521.0002218790,1010.924199949604,1004.755253131109
523.6185489270,1010.923704488420,1004.725179708238
526.7605413847,1010.923109922006,1004.689639240422
530.5309323339,1010.922396423167,1004.647758056921
535.0554014729,1010.921540196194,1004.598570371056
540.4847644398,1010.920512681493,1004.541027313829
547.0000000000,1010.919279600088,1004.474014630657
548.8788920947,1010.918659096835,1004.454505376648
551.1335626083,1010.917914474633,1004.431331455847
553.8391672246,1010.917020901420,1004.403857824261
557.0858927642,1010.915948574907,1004.371361090509
560.9819634117,1010.914661726717,1004.333025948500
565.6572481887,1010.913117426408,1004.287945274862
571.2675899211,1010.911264144881,1004.235125497855
578.0000000000,1010.909040028173,1004.173499014972
579.8788920947,1010.908419287384,1004.156419318408
582.1335626083,1010.907674378058,1004.136115849599
584.8391672246,1010.906780457216,1004.112023367638
588.0858927642,1010.905707708962,1004.083495128785
591.9819634117,1010.904420347813,1004.049798190085
596.6572481887,1010.902875421602,1004.010111443814
602.2675899211,1010.901021373278,1003.963527710709
609.0000000000,1010.898796312374,1003.909061398797
610.8182826723,1010.898195338956,1003.894442134476
613.0002218790,1010.897474149166,1003.877046146088
615.6185489270,1010.896608689823,1003.856379239497
618.7605413847,1010.895570092479,1003.831872830459
622.5309323339,1010.894323708097,1003.802878188593
627.0554014729,1010.892827947519,1003.768662504156
632.4847644398,1010.891032888166,1003.728407832741
639.0000000000,1010.888878599186,1003.681214173699
640.8788920947,1010.888257301704,1003.667685737815
643.1335626083,1010.887511718135,1003.651581652172
645.8391672246,1010.886616979070,1003.632440864501
649.0858927642,1010.885543235480,1003.609731755425
652.9819634117,1010.884254659975,1003.582846117003
657.6572481887,1010.882708246850,1003.551094577845
663.2675899211,1010.880852369812,1003.513704389486
670.0000000000,1010.878625047605,1003.469820672610
671.8182826723,1010.878023458481,1003.458031307487
674.0002218790,1010.877301522641,1003.443985231503
676.6185489270,1010.876435157501,1003.427273351032
679.7605413847,1010.875395457729,1003.407421786555
683.5309323339,1010.874147727655,1003.383885368257
688.0554014729,1010.872650318577,1003.356042001980
693.4847644398,1010.870853231039,1003.323188631804
700.0000000000,1010.868696433697,1003.284539704161
701.8788920947,1010.868339718253,1003.273799233848
704.1335626083,1010.867911634508,1003.261001939278
706.8391672246,1010.867397897039,1003.245774600302
710.0858927642,1010.866781357655,1003.227684750986
713.9819634117,1010.866041429962,1003.206234678452
718.6572481887,1010.865153397275,1003.180856199946
724.2675899211,1010.864087579608,1003.150906884972
731.0000000000,1010.862808330075,1003.115668561369
